unique_id,ds,SeasonalNaive,AutoETS,AutoARIMA,CES,AutoMFLES,AutoTBATS,AutoTheta
all,2026-08-27,8.085407926986644,8.046151254857591,7.422970465757341,7.544078052043915,8.035347496009658,7.790224009563017,7.59708034856704
all,2026-09-03,8.275235509082384,8.171973297077528,7.612798047825105,7.67446206510067,8.098626636944122,7.869951044669425,7.720196660082141
all,2026-09-10,8.226223587616943,8.256316147417767,7.563786126365423,7.762288924306631,8.147107527801113,7.93181509784907,7.799282253290897
all,2026-09-17,8.292930263834112,8.245402176858711,7.630492802581408,7.752714172005653,8.171372061792853,7.961254210078688,7.794293413388761
all,2026-09-24,8.336797538877544,8.316307350684015,7.6743600776250815,7.8246426936239,8.1856396547961,7.9579616607036625,7.860164736856738
all,2026-10-01,8.477034726711377,8.26574515500744,7.8145972654588665,7.773345939815044,8.1908022522073,7.935351167798724,7.8178549776148065
all,2026-10-08,8.286953270324885,8.222356934682267,7.624515809072385,7.730845659971237,8.175322230896139,7.914199465699121,7.7793225264211685
all,2026-10-15,8.18594619939573,8.250489966828336,7.52350873814323,7.762199254706502,8.153903952022846,7.913111393546166,7.807387504813261
all,2026-10-22,8.331584798890967,8.316240380227589,7.669147337638467,7.827016845345497,8.172583259537156,7.939799659596436,7.870617760284455
all,2026-10-29,8.492663790506114,8.362523739256572,7.830226329253609,7.872946985065937,8.251751408350016,7.986932268705432,7.915460974302653
all,2026-11-05,8.39621400350254,8.374685883251969,7.733776542250039,7.885777868330479,8.336595663021109,8.034539761410445,7.927797553810658
all,2026-11-12,8.498811885564017,8.356797579116934,7.836374424311517,7.866744443774223,8.336408347007342,8.058350918726068,7.915063423971156
all,2026-11-19,8.47860349512993,8.237975165819742,7.81616603387743,7.745325423777103,8.230215412227798,8.040948942841307,7.800042743632518
all,2026-11-26,8.423403255455435,8.121075750049846,7.7609657942029315,7.672649249434471,8.104629602286948,7.981289285065183,7.74529501006177
all,2026-12-03,8.321889490063107,8.058098991032782,7.659452028810605,7.568095281720161,8.061412889746373,7.898467857291991,7.640383674742686
all,2026-12-10,8.208572086204112,8.15675572448655,7.546134624951611,7.67328704893589,8.109909761231268,7.827611900856139,7.73874644370839
all,2026-12-17,8.277582802866522,8.27093157238485,7.615145341614019,7.790498606860638,8.170963067222194,7.808694689766932,7.855750765770591
all,2026-12-24,8.408929576953105,8.23051572175952,7.746492115700603,7.745940703898668,8.188228137305668,7.871874491460017,7.809722012343625
all,2026-12-31,8.385918678692713,8.26970578400883,7.723481217440211,7.784681335091591,8.213616324771687,8.024561946161414,7.847075333043763
all,2027-01-07,8.74348697553252,8.397707130250692,8.081049514280016,7.907880634069443,8.35041751660832,8.245170840879549,7.954773565432537
all,2027-01-14,8.921050741428328,8.465400800665899,8.258613280175826,7.970905840396881,8.620718572152493,8.48641273786329,8.010309117064049
all,2027-01-21,9.334801680466695,8.894612972494706,8.672364219214195,8.403843402862549,8.90903410849174,8.687744846696104,8.410507457265467
all,2027-01-28,9.422351143219615,9.14769453789522,8.759913681967113,8.669415891170502,9.050635801452174,8.793308324794648,8.652360890116734
all,2027-02-04,9.292605101437488,9.143852580731135,8.630167640184986,8.6625297665596,8.982036369376193,8.769579525014942,8.645203103664635
all,2027-02-11,8.684291459718677,8.832587731353968,8.02185399846618,8.367709755897522,8.772295511005469,8.616794247063476,8.3856427941078
all,2027-02-18,8.47438025795836,8.572882853353333,7.811942796705857,8.10606449842453,8.512792807018235,8.370109921060402,8.156043481305641
all,2027-02-25,8.32807031801523,8.491997423564369,7.665632856762729,8.018104642629623,8.240539313001584,8.089824003971508,8.074025381036181
all,2027-03-04,7.932064550835526,8.321526709980942,7.269627089583025,7.845450237393379,7.978960887277918,7.84362526465348,7.920220472514205
all,2027-03-11,7.261492612364925,7.897325587272803,6.599055151112424,7.4262880980968475,7.795102855501032,7.686550452691249,7.543959752032649
all,2027-03-18,7.8926402962516935,7.7998820991957185,7.230202834999192,7.3123107850551605,7.766816943816852,7.645109083360965,7.438724419565681
all,2027-03-25,7.98365320536513,8.095190313822636,7.32121574411263,7.611809693276882,7.894813658437253,7.710641467714077,7.714785839130698
all,2027-04-01,8.059532276515537,8.170009757605552,7.397094815263033,7.682122195139527,8.07026315009726,7.843870466183483,7.7723773704695835
all,2027-04-08,8.084727937910516,8.295238550579727,7.422290476658013,7.813872918486595,8.158520588655751,7.9888707369851035,7.903094717978182
all,2027-04-15,8.157032178192674,8.198437947101729,7.4945947169401705,7.708979329094291,8.129401496830464,8.091599857948122,7.800064706606586
all,2027-04-22,7.954360334258358,8.244540827706853,7.291922873005854,7.759106330573559,8.068830966468672,8.116762622753837,7.854195665147228
all,2027-04-29,8.186048697137666,8.267106011497773,7.523611235885165,7.778488576412201,8.052065898749623,8.057554702323038,7.866025095423943
all,2027-05-06,7.522157367933879,8.232907769398999,6.859719906681375,7.754971422255039,8.050431168848615,7.935440437830989,7.866204442346667
all,2027-05-13,8.639159819190052,8.248905066091242,7.408525852499002,7.734811171889305,7.985074991975089,7.790612897279994,7.836417390822713
all,2027-05-20,8.036406190034773,7.818583506454228,6.692126885498494,7.2964185774326324,7.854210706558474,7.666924383420213,7.441264474626011
all,2027-05-27,8.209116284348132,7.636116946915202,6.8882367589479605,7.097111225128174,7.759889124130504,7.596778500058874,7.270390975473405
all,2027-06-03,8.194679203600181,7.844049722894909,6.868981621656727,7.314610183238983,7.793692230019575,7.591192489935668,7.463758036742731
all,2027-06-10,8.227766932087832,7.9026733630930135,6.903061396638461,7.376168221235275,7.927497592038241,7.638141496293321,7.520437455357208
all,2027-06-17,8.426289668023955,8.047037071707154,7.101379868420028,7.521976351737976,8.032964049971094,7.70919610586635,7.652509850586459
all,2027-06-24,8.248157260795574,7.954807860394328,6.9232895195478665,7.425934478640556,8.016487432898522,7.771506225020326,7.567643835858879
all,2027-07-01,8.230349434146738,7.974015718914706,6.905473033007963,7.445602789521217,7.918602746079049,7.800425863686999,7.585880568884481
all,2027-07-08,7.9436840360663385,7.885494792458413,6.618809418014683,7.350634515285492,7.851353036893964,7.788104582102832,7.501347199933916
all,2027-07-15,8.341473633389613,7.935376175900821,7.0165986481971165,7.402320891618729,7.86693400875587,7.745111715154621,7.551926577612247
all,2027-07-22,8.192542523888381,7.844327549619474,6.867667614290846,7.309637039899826,7.918851914190635,7.694905045228468,7.469137067292518
all,2027-07-29,7.883024478504113,7.959382038336176,6.558149553341437,7.421578541398048,7.937617590391918,7.663653344709352,7.567415526598892
all,2027-08-05,8.295589953210476,7.955889067765431,6.97071503125269,7.413934290409088,7.917505021609269,7.6695676076331845,7.566430163817814
all,2027-08-12,8.18915484931087,8.029108926856138,6.864279926693193,7.48813408613205,7.909815319352561,7.715904627678625,7.632334487096581
all,2027-08-19,8.085407926986644,7.882568483924514,6.760533004504839,7.335864245891571,7.947924140798752,7.790224009563017,7.497276237901957
all,2027-08-26,8.275235509082384,8.01170937070903,6.950360586572604,7.466358408331871,8.01051481433114,7.869951044669425,7.618749017863527
all,2027-09-02,8.226223587616943,8.099303731326863,6.9013486651129226,7.554295416921377,8.05846824048988,7.931815097849069,7.696768969402805
all,2027-09-09,8.292930263834112,8.09157530286825,6.968055341328907,7.544830337166786,8.0824687800526,7.96125421007869,7.691819292435132
all,2027-09-16,8.336797538877544,8.165601389010403,7.01192261637258,7.616869008168578,8.096581143820055,7.957961660703663,7.756797937099878
all,2027-09-23,8.477034726711377,8.118096787106676,7.152159804206366,7.565681926906109,8.101687572958815,7.935351167798724,7.715018064278309
all,2027-09-30,8.286953270324885,8.077704126646893,6.962078347819883,7.523291796445847,8.08637597191852,7.914199465699121,7.676966072977034
all,2027-10-07,8.18594619939573,8.108771943324127,6.861071276890728,7.554755063727498,8.065190720652668,7.913111393546167,7.7046352772817
all,2027-10-14,8.331584798890967,8.177397598959018,7.006709876385965,7.619682803750038,8.083666800150178,7.939799659596436,7.767006628276143
all,2027-10-21,8.492663790506114,8.226497865950348,7.167788868001109,7.665722616016865,8.161973611578626,7.986932268705432,7.811232609225053
all,2027-10-28,8.39621400350254,8.241419767148106,7.071339080997538,7.678662694990635,8.245894773699282,8.034539761410445,7.823379784802391
all,2027-11-04,8.498811885564017,8.22623522895707,7.173936963059013,7.659738942980766,8.245709495655175,8.058350918726067,7.810786447154377
all,2027-11-11,8.47860349512993,8.110061726322627,7.153728572624928,7.538429118692875,8.140671923809558,8.040948942841307,7.697254553785925
all,2027-11-18,8.423403255455435,7.995757478864099,7.09852833295043,7.465862616896629,8.016452468326605,7.981289285065183,7.643201900559279
all,2027-11-25,8.321889490063107,7.935323236157248,6.997014567558104,7.361417844891548,7.973705947027088,7.898467857291992,7.539647397738539
all,2027-12-02,8.208572086204112,8.036470902148755,6.883697163699109,7.466719284653664,8.021675179946936,7.82761190085614,7.63668689686021
all,2027-12-09,8.277582802866522,8.153087145368275,6.952707880361517,7.58404003828764,8.08206423528049,7.808694689766931,7.752121353828966
all,2027-12-16,8.408929576953105,8.115062178170575,7.084054654448101,7.539591807872057,8.099141464034714,7.871874491460017,7.706673135948317
all,2027-12-23,8.385918678692713,8.156594616474624,7.0610437561877095,7.578441634774208,8.124253431893294,8.024561946161414,7.743506785803872
all,2027-12-30,8.74348697553252,8.286890815538841,7.418612053027516,7.70174965262413,8.259566247627568,8.245170840879549,7.849756400305535
all,2028-01-06,8.921050741428328,8.356832779717811,7.596175818923324,7.764884054660797,8.526926468913548,8.48641273786329,7.904531402388286
all,2028-01-13,9.334801680466695,8.788247630863978,8.009926757961694,8.197930335998535,8.81210517619111,8.6877448466961,8.299416280098495
all,2028-01-20,9.422351143219615,9.043487186582892,8.097476220714611,8.463612020015717,8.952166264329128,8.793308324794648,8.538045556615822
all,2028-01-27,9.292605101437488,9.04175943740978,7.967730178932484,8.456834614276886,8.884313183611395,8.76957952501494,8.530952741467956
all,2028-02-03,8.684291459718677,8.732565901972706,7.359416537213676,8.162123799324036,8.676854273790214,8.616794247063478,8.274793917685447
all,2028-02-10,8.47438025795836,8.474890314116061,7.149505335453357,7.900587260723114,8.420174919643186,8.370109921060404,8.048201700649754
all,2028-02-17,8.32807031801523,8.395993003273622,7.003195395510227,7.812736123800278,8.150883502117521,8.08982400397151,7.967240384389368
all,2028-02-24,7.932064550835526,8.227470072739962,6.607189628330524,7.640190437436104,7.89215100976997,7.843625264653481,7.815442488388953
all,2028-03-02,7.261492612364925,7.805177215538572,5.936617689859922,7.2211370170116425,7.710293325336915,7.68655045269125,7.444133492401734
all,2028-03-09,7.8926402962516935,7.709603277175804,6.56776537374669,7.107268422842026,7.6823151600577075,7.645109083360965,7.340265151274856
all,2028-03-16,7.98365320536513,8.006743111208898,6.658778282860128,7.406876049935818,7.808919289945011,7.710641467714077,7.612646101966582
all,2028-03-23,8.059532276515537,8.083357013637873,6.7346573540105314,7.477296793833375,7.982459917895192,7.843870466183483,7.669448431388717
all,2028-03-30,8.084727937910516,8.210343858433045,6.759853015405511,7.609155759215355,8.069757128983131,7.9888707369851035,7.798407516466872
all,2028-04-06,8.157032178192674,8.115265638589861,6.832157255687669,7.504370411857963,8.04095484843568,8.091599857948124,7.696715434083597
all,2028-04-13,7.954360334258358,8.163055958296631,6.629485411753352,7.554605655372143,7.981043316206049,8.116762622753837,7.750102124926806
